,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/06/01,"1,644,712","39,737,487",24.00,24.25,24.00,24.20,+0.25,628
1,109/06/02,"1,939,686","47,101,812",24.20,24.35,24.20,24.30,+0.10,651
2,109/06/03,"1,772,372","43,151,703",24.40,24.45,24.25,24.35,+0.05,"1,007"
3,109/06/04,"1,259,788","30,618,455",24.40,24.45,24.25,24.25,-0.10,520
4,109/06/05,"1,380,620","33,550,854",24.35,24.35,24.25,24.30,+0.05,496
5,109/06/08,"2,129,061","51,828,376",24.35,24.45,24.30,24.30, 0.00,643
6,109/06/09,"1,972,494","47,917,499",24.30,24.35,24.25,24.30, 0.00,731
7,109/06/10,"4,727,975","114,828,976",24.30,24.35,24.20,24.30, 0.00,"1,563"
8,109/06/11,"6,964,242","169,455,983",24.35,24.45,24.25,24.30, 0.00,"2,454"
9,109/06/12,"8,115,042","182,198,387",22.50,22.60,22.15,22.35,X0.00,"2,126"
10,109/06/15,"5,174,447","114,148,192",22.35,22.40,21.90,21.90,-0.45,"2,561"
11,109/06/16,"5,353,830","117,521,722",22.00,22.10,21.90,22.00,+0.10,"2,646"
12,109/06/17,"2,221,538","49,018,263",22.20,22.25,22.00,22.20,+0.20,"1,428"
13,109/06/18,"1,685,827","37,194,122",22.20,22.20,22.00,22.05,-0.15,"1,009"
14,109/06/19,"3,042,132","67,634,702",22.15,22.40,22.10,22.40,+0.35,"1,136"
15,109/06/22,"2,935,917","65,671,382",22.40,22.55,22.25,22.40, 0.00,"1,543"
16,109/06/23,"2,215,627","49,065,765",22.45,22.45,22.05,22.15,-0.25,"1,401"
17,109/06/24,"1,316,188","29,092,257",22.15,22.20,22.05,22.15, 0.00,877
18,109/06/29,"1,565,699","34,471,975",22.00,22.15,21.90,22.10,-0.05,532
19,109/06/30,"1,563,693","34,922,802",22.20,22.40,22.20,22.40,+0.30,657
20,109/07/01,"3,156,109","71,503,304",22.60,22.75,22.50,22.60,+0.20,"1,034"
21,109/07/02,"4,331,433","99,771,296",22.65,23.25,22.65,23.15,+0.55,"1,452"
22,109/07/03,"2,164,259","50,020,763",23.25,23.25,23.00,23.25,+0.10,745
23,109/07/06,"2,418,185","55,894,454",23.25,23.35,23.00,23.05,-0.20,959
24,109/07/07,"2,189,120","50,060,077",23.10,23.10,22.80,22.80,-0.25,880
25,109/07/08,"1,159,986","26,399,472",22.80,22.85,22.70,22.80, 0.00,540
26,109/07/09,"1,151,924","26,400,701",22.80,23.00,22.80,22.90,+0.10,498
27,109/07/10,"1,751,943","39,862,200",22.85,22.90,22.60,22.65,-0.25,764
28,109/07/13,"800,711","18,214,980",22.85,22.85,22.65,22.80,+0.15,383
29,109/07/14,"1,008,136","22,893,372",22.80,22.80,22.65,22.65,-0.15,578
30,109/07/15,"1,062,065","24,253,571",22.70,22.95,22.70,22.95,+0.30,537
31,109/07/16,"1,739,530","39,978,008",23.00,23.05,22.90,22.95, 0.00,602
32,109/07/17,"1,638,711","37,758,603",23.10,23.10,22.95,22.95, 0.00,591
33,109/07/20,"724,120","16,616,939",23.05,23.05,22.85,22.95, 0.00,277
34,109/07/21,"3,080,654","70,795,642",23.05,23.15,22.80,23.00,+0.05,"1,139"
35,109/07/22,"3,147,403","73,340,797",23.15,23.50,23.10,23.50,+0.50,"1,134"
36,109/07/23,"3,253,289","77,334,667",23.60,23.90,23.60,23.80,+0.30,"1,070"
37,109/07/24,"2,711,968","64,240,440",23.80,23.80,23.55,23.55,-0.25,962
38,109/07/27,"2,118,919","49,883,908",23.55,23.85,23.45,23.50,-0.05,624
39,109/07/28,"3,038,838","70,955,436",23.60,23.60,23.20,23.35,-0.15,805
