,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,111/01/03,"22,163,293","2,301,355,961",104.50,105.00,103.00,103.00,-1.00,"14,002"
1,111/01/04,"18,460,781","1,912,476,375",104.00,104.00,103.00,103.50,+0.50,"11,989"
2,111/01/05,"142,927,366","15,545,527,529",104.00,111.00,103.50,109.00,+5.50,"65,457"
3,111/01/06,"49,399,140","5,297,978,610",108.00,108.50,106.00,107.00,-2.00,"26,343"
4,111/01/07,"39,268,835","4,192,632,017",108.00,108.50,106.00,106.50,-0.50,"15,864"
5,111/01/10,"34,836,774","3,658,148,684",106.00,106.50,104.00,104.50,-2.00,"20,396"
6,111/01/11,"26,266,891","2,742,382,008",104.50,105.00,104.00,104.50, 0.00,"13,414"
7,111/01/12,"18,941,505","1,977,481,666",105.00,105.50,104.00,104.50, 0.00,"10,532"
8,111/01/13,"19,714,232","2,073,574,056",105.00,105.50,104.50,105.50,+1.00,"10,057"
9,111/01/14,"39,061,978","4,050,449,624",105.00,105.50,103.00,103.50,-2.00,"25,878"
10,111/01/17,"16,235,777","1,683,743,255",103.50,104.50,103.50,103.50, 0.00,"8,944"
11,111/01/18,"14,894,743","1,548,782,389",104.50,104.50,103.50,103.50, 0.00,"9,070"
12,111/01/19,"24,064,174","2,496,807,090",103.50,104.50,103.00,103.50, 0.00,"12,635"
13,111/01/20,"29,541,931","3,053,907,659",103.50,104.00,103.00,103.00,-0.50,"13,904"
14,111/01/21,"34,317,926","3,511,235,299",102.50,103.00,102.00,102.00,-1.00,"22,344"
15,111/01/24,"42,011,474","4,340,699,854",103.00,104.50,102.50,103.00,+1.00,"18,368"
16,111/01/25,"29,251,026","3,002,543,422",103.00,103.50,102.00,103.00, 0.00,"16,508"
17,111/01/26,"33,435,293","3,422,890,628",103.00,103.50,102.00,102.00,-1.00,"20,822"
18,111/02/07,"34,222,573","3,532,074,933",102.50,104.50,102.50,103.00,+1.00,"14,794"
19,111/02/08,"43,806,303","4,606,162,011",104.00,106.00,103.00,105.50,+2.50,"18,295"
20,111/02/09,"23,653,775","2,508,012,682",106.00,106.50,105.50,106.50,+1.00,"12,452"
21,111/02/10,"20,202,759","2,145,700,069",106.50,107.00,105.50,106.50, 0.00,"10,184"
22,111/02/11,"16,707,627","1,760,438,097",105.50,106.00,104.50,106.00,-0.50,"9,086"
23,111/02/14,"22,517,058","2,344,653,736",105.00,105.00,103.50,104.00,-2.00,"12,120"
24,111/02/15,"13,542,993","1,413,403,014",104.00,105.00,104.00,104.00, 0.00,"7,665"
25,111/02/16,"13,503,882","1,421,385,079",105.00,106.00,104.50,105.50,+1.50,"7,625"
26,111/02/17,"25,548,971","2,705,371,212",106.00,106.50,105.00,106.00,+0.50,"10,473"
27,111/02/18,"11,375,198","1,199,705,108",105.00,106.00,105.00,105.50,-0.50,"6,534"
28,111/02/21,"23,535,017","2,494,887,566",105.00,107.00,104.50,106.00,+0.50,"9,971"
29,111/02/22,"26,135,723","2,730,651,445",105.00,105.50,104.00,104.50,-1.50,"13,000"
30,111/02/23,"14,607,481","1,532,153,333",104.50,105.50,104.50,105.00,+0.50,"6,820"
31,111/02/24,"47,746,141","4,927,652,706",104.00,104.50,102.50,102.50,-2.50,"25,803"
32,111/02/25,"29,911,231","3,082,648,052",103.00,103.50,102.50,103.00,+0.50,"12,863"
33,111/03/01,"30,997,685","3,241,194,164",104.00,105.50,103.50,104.50,+1.50,"10,193"
34,111/03/02,"13,856,628","1,447,933,122",104.00,105.00,104.00,104.50, 0.00,"7,727"
35,111/03/03,"13,875,811","1,454,723,635",105.00,105.50,104.50,104.50, 0.00,"6,783"
36,111/03/04,"18,504,180","1,930,947,109",104.00,105.00,103.50,105.00,+0.50,"8,128"
37,111/03/07,"45,910,892","4,729,612,213",104.00,104.00,102.50,102.50,-2.50,"22,699"
38,111/03/08,"61,133,394","6,189,736,839",101.50,102.50,100.00,101.50,-1.00,"38,356"
39,111/03/09,"29,548,450","3,008,585,959",102.00,102.50,101.50,101.50, 0.00,"17,043"
40,111/03/10,"29,400,154","3,033,282,899",103.00,104.00,102.50,103.00,+1.50,"12,409"
41,111/03/11,"24,223,838","2,504,793,316",103.00,104.00,102.50,103.50,+0.50,"9,082"
42,111/03/14,"26,933,784","2,774,250,224",103.00,104.00,102.50,102.50,-1.00,"10,301"
43,111/03/15,"31,444,438","3,189,574,182",102.00,103.00,101.00,101.00,-1.50,"16,486"
44,111/03/16,"36,150,101","3,657,323,884",101.50,102.50,100.00,101.50,+0.50,"18,966"
45,111/03/17,"43,672,218","4,532,326,631",103.50,104.50,103.00,104.00,+2.50,"16,099"
46,111/03/18,"82,471,801","8,685,872,459",105.00,106.00,103.50,106.00,+2.00,"19,378"
47,111/03/21,"21,258,452","2,237,503,189",106.00,106.50,104.50,104.50,-1.50,"11,458"
